#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,like_per_view,comment_per_view,share_per_view,text_length
1,claim,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,343296.0,19425.0,241.0,1.0,0.0,0.05658382270693512,0.0,0.0007020180835197614,97
2,claim,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0,0.5490960199322813,0.004855299303647863,0.13511077038835295,107
3,claim,9859838091,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,902185.0,97690.0,2858.0,833.0,329.0,0.10828156087720368,0.0003646702173057632,0.003167864684072557,137
4,claim,1866847991,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,437506.0,239954.0,34812.0,1234.0,584.0,0.5484587639940938,0.0013348388364959566,0.07956919447961856,131
5,claim,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,56167.0,34987.0,4110.0,547.0,152.0,0.6229102497908025,0.0027062153933804546,0.07317463991311625,128
6,claim,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,336647.0,175546.0,45382.5,2880.125,728.5,0.5214542235635548,0.005516163815510015,0.18506922681621996,127
7,claim,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,750345.0,311333.875,45382.5,2880.125,728.5,0.6479579393478999,0.0072579946557916695,0.25842912260360235,95
8,claim,2270982263,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,547532.0,1072.0,50.0,22.0,11.0,0.0019578764346193465,2.0090149982101502e-05,9.131886355500684e-05,99
9,claim,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,24819.0,10160.0,1050.0,53.0,27.0,0.4093637938676014,0.0010878762238607518,0.04230629759458479,103
10,claim,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,931587.0,171051.0,45382.5,2880.125,728.5,0.18361248063787924,0.0027265301040053157,0.07271355225008506,102
11,claim,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0,0.34217362116378996,0.0005433837281011326,0.03315215750652995,83
12,claim,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,482046.0,168107.0,19474.0,2880.125,532.0,0.34873642764383483,0.0011036291142339112,0.040398634155246596,87
13,claim,3609761483,51,someone shared with me that the longest recorded cricket match lasted 14 days,not verified,active,700081.0,311333.875,45382.5,2408.0,728.5,0.62073531491356,0.0020154810657623903,0.13997665984364666,77
14,claim,3850678773,20,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",not verified,under review,929685.0,311333.875,45382.5,1225.0,728.5,0.5348435222682951,0.0008658846813705718,0.1666338598557576,107
15,claim,1656032315,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,not verified,active,937231.0,237318.0,45382.5,1867.0,728.5,0.25321185492157217,0.0010242939040642062,0.08695401667251723,98
16,claim,9277685719,10,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",not verified,active,746186.0,193.0,29.0,2.0,0.0,0.0002586486479242441,0.0,3.886430461037865e-05,100
17,claim,9346511024,11,someone shared with me that a dog’s sense of smell is much more powerful than a human's,not verified,active,923007.0,67714.0,17710.0,845.0,536.0,0.07336239053441632,0.0005807106554988207,0.019187286770306185,87
18,claim,9533847147,27,"someone shared with me that a common garden snail has over 12,000 teeth",not verified,active,467702.0,40435.0,2804.0,495.0,327.0,0.08645462281538245,0.0006991631423427738,0.005995270492749657,71
19,claim,2359906270,11,someone shared with me that we only see the same side of the moon,not verified,active,168594.0,105245.0,37929.0,1723.0,694.0,0.6242511595904955,0.004116397973830623,0.2249724189472935,65
20,claim,7146819625,34,someone shared with me that the moon was once part of the earth,not verified,active,249935.0,20437.0,2240.0,212.0,70.0,0.08176926000760197,0.0002800728189329226,0.008962330205853523,63
21,claim,3827012052,27,someone shared with me that neptune radiates more heat than it gets from the sun,not verified,active,550259.0,30528.0,6704.0,258.0,88.0,0.055479328825153246,0.00015992469000961366,0.012183353657096023,80
22,claim,6940114042,20,someone shared with me that there are more stars in the universe than grains of sand on earth,not verified,active,510989.0,162612.0,26745.0,2507.0,728.5,0.31822994232752566,0.002510817258297145,0.05233967854493932,93
23,claim,7986031283,52,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",not verified,banned,60096.0,34245.0,11345.0,219.0,77.0,0.5698382587859425,0.001281283280085197,0.1887812832800852,102
24,claim,5733649579,54,"someone shared with me that through the seasons, a reindeer’s eyes will change color",not verified,active,750942.0,136252.0,27119.0,2637.0,728.5,0.1814414428810747,0.0016059828854958172,0.036113308351377334,84
25,claim,2736327047,39,someone shared with me that elephants will console each other during stressful situations,not verified,active,353722.0,39844.0,10399.0,181.0,54.0,0.11264213139131861,0.00015266226019303294,0.029398793402728697,89
26,claim,6792082620,33,someone shared with me that avocados never ripen while they are still attached to the tree,not verified,active,506061.0,288150.0,39351.0,2405.0,728.5,0.5693977603490489,0.0022408365789894896,0.07775940054657443,90
27,claim,2385469584,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,under review,50892.0,7976.0,2903.0,125.0,78.0,0.15672404307160262,0.0015326573921244989,0.05704236422227462,118
28,claim,6569363811,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,812056.0,311333.875,3515.0,2880.125,728.5,0.40522821086230504,0.0013644379205374998,0.004328519215423566,100
29,claim,6301836558,21,someone shared with me that people don’t sneeze in their sleep,not verified,active,677855.0,311333.875,45382.5,2880.125,728.5,0.4906196752992897,0.00351992682800894,0.1445161575853243,62
30,claim,6854087993,48,"someone shared with me that at birth, baby pandas are smaller than mice",not verified,active,74323.0,20940.0,3678.0,274.0,63.0,0.28174320196978053,0.0008476514672443254,0.04948669994483538,71
31,claim,7568304116,55,someone shared with me that the microwave oven was an accidental invention,not verified,active,573518.0,311333.875,45382.5,2880.125,728.5,0.5649395485407607,0.005087896107881532,0.2195763690067269,74
32,claim,7730527836,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,not verified,banned,376637.0,226700.0,45382.5,2060.0,278.0,0.6019058138207346,0.0007381112317695819,0.18407378988256598,85
33,claim,8304906458,23,someone shared with me that the longest location name on the planet earth is 85 letters in english.,not verified,active,781955.0,311333.875,45382.5,2880.125,728.5,0.5209596460154357,0.0028646149714497636,0.08316207454393156,99
34,claim,7723647550,33,someone shared with me that the red-billed quelea is the most common bird on earth,not verified,active,822795.0,311333.875,45382.5,2880.125,728.5,0.4739953451345718,0.002497584452992544,0.15265892476254717,82
35,claim,1260034177,10,"someone shared with me that in japan, its considered good luck when a sumo wrestler makes your baby cry",not verified,active,418750.0,133645.0,27821.0,2387.0,206.0,0.31915223880597016,0.0004919402985074627,0.06643820895522388,103
36,claim,5407291277,12,someone shared with me that bubble wrap was originally designed to be used as wallpaper,not verified,active,535825.0,73157.0,1642.0,1573.0,97.0,0.13653151681985723,0.0001810292539541828,0.003064433350440909,87
37,claim,6844920875,29,someone shared with me that humans have jumped further than horses in the olympics,not verified,active,924262.0,311333.875,37874.0,2880.125,635.0,0.5033529453769602,0.0006870346287091755,0.0409775583113879,82
38,claim,9171709060,30,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,active,489267.0,110476.0,17911.0,2585.0,90.0,0.22579900136326383,0.00018394864153928222,0.03660782354011204,119
39,claim,2310167046,20,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,active,879368.0,311333.875,45382.5,2880.125,728.5,0.6511585593289726,0.0028907124207385305,0.1740909380373177,110
40,claim,4040057402,20,someone shared with me that the eye of an ostrich is bigger than its brain,not verified,active,135682.0,50881.0,7713.0,944.0,324.0,0.3750018425435946,0.002387936498577556,0.056846154980026826,74
41,claim,7334026327,25,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,not verified,under review,289935.0,3484.0,1092.0,20.0,3.0,0.012016486453860348,1.0347146774276993e-05,0.0037663614258368256,92
42,claim,5280794672,34,someone shared with me that buttermilk does not contain any butter,not verified,active,903941.0,311333.875,32446.0,2880.125,728.5,0.4527220249994192,0.0015377109789245095,0.035893935555528514,66
43,claim,2869029922,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,not verified,active,704320.0,161850.0,19294.0,2880.125,566.0,0.22979611540208997,0.0008036119945479328,0.02739379827351204,80
44,claim,1421558858,5,someone shared with me that bottled water has an expiration date,not verified,under review,609453.0,262718.0,45382.5,826.0,99.0,0.43107179716893673,0.00016244074604604457,0.13183461234910648,64
45,claim,4477338445,31,someone shared with me that driving south from detroit will lead to canada,not verified,active,790372.0,24067.0,4167.0,434.0,236.0,0.030450218378181414,0.0002985935736589859,0.005272200938292349,74
46,claim,4479658983,34,someone shared with me that sea otters are born unable to swim,not verified,under review,750369.0,271101.0,45382.5,1482.0,426.0,0.3612902451993619,0.000567720681424739,0.0871277997891704,62
47,claim,9398305380,17,someone shared with me that apple seeds contain cyanide,not verified,under review,630556.0,67394.0,16130.0,1197.0,720.0,0.10688027708879148,0.0011418494154365353,0.02558059870971016,55
48,claim,2584492620,52,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,active,853104.0,45589.0,16274.0,758.0,163.0,0.05343897109848272,0.0001910669742493295,0.019076220484255144,131
49,claim,6528249616,18,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,not verified,active,636117.0,311333.875,12659.0,105.0,65.0,0.5670686367444983,0.00010218246014491045,0.019900427122683407,113
50,claim,6798355648,36,someone shared with me that the largest living thing on earth is a tree,not verified,active,658349.0,231224.0,45382.5,2880.125,728.5,0.35121797101537333,0.002166024403469892,0.1355998110424714,71
51,claim,9161593537,17,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,not verified,active,472376.0,210080.0,37155.0,2880.125,728.5,0.4447304689484648,0.005709434856978339,0.07865556251799415,94
52,claim,1291361813,53,someone shared with me that the town of calama in chile has never experienced rain,not verified,active,984793.0,311333.875,15329.0,521.0,30.0,0.4606622914663285,3.0463254714442527e-05,0.015565707717256317,82
